_time,Amount of Users Detected
2020-02-01T00:00:00.000+1100,19
2020-02-01T00:30:00.000+1100,12
2020-02-01T01:00:00.000+1100,44
2020-02-01T01:30:00.000+1100,8
2020-02-01T02:00:00.000+1100,7
2020-02-01T02:30:00.000+1100,6
2020-02-01T03:00:00.000+1100,6
2020-02-01T03:30:00.000+1100,7
2020-02-01T04:00:00.000+1100,52
2020-02-01T04:30:00.000+1100,14
2020-02-01T05:00:00.000+1100,5
2020-02-01T05:30:00.000+1100,6
2020-02-01T06:00:00.000+1100,25
2020-02-01T06:30:00.000+1100,7
2020-02-01T07:00:00.000+1100,12
2020-02-01T07:30:00.000+1100,7
2020-02-01T08:00:00.000+1100,9
2020-02-01T08:30:00.000+1100,17
2020-02-01T09:00:00.000+1100,11
2020-02-01T09:30:00.000+1100,19
2020-02-01T10:00:00.000+1100,16
2020-02-01T10:30:00.000+1100,12
2020-02-01T11:00:00.000+1100,15
2020-02-01T11:30:00.000+1100,23
2020-02-01T12:00:00.000+1100,22
2020-02-01T12:30:00.000+1100,22
2020-02-01T13:00:00.000+1100,22
2020-02-01T13:30:00.000+1100,23
2020-02-01T14:00:00.000+1100,30
2020-02-01T14:30:00.000+1100,28
2020-02-01T15:00:00.000+1100,26
2020-02-01T15:30:00.000+1100,24
2020-02-01T16:00:00.000+1100,15
2020-02-01T16:30:00.000+1100,18
2020-02-01T17:00:00.000+1100,15
2020-02-01T17:30:00.000+1100,5
2020-02-01T18:00:00.000+1100,6
2020-02-01T18:30:00.000+1100,7
2020-02-01T19:00:00.000+1100,7
2020-02-01T19:30:00.000+1100,5
2020-02-01T20:00:00.000+1100,5
2020-02-01T20:30:00.000+1100,6
2020-02-01T21:00:00.000+1100,5
2020-02-01T21:30:00.000+1100,5
2020-02-01T22:00:00.000+1100,6
2020-02-01T22:30:00.000+1100,5
2020-02-01T23:00:00.000+1100,6
2020-02-01T23:30:00.000+1100,5
2020-02-02T00:00:00.000+1100,15
2020-02-02T00:30:00.000+1100,19
2020-02-02T01:00:00.000+1100,42
2020-02-02T01:30:00.000+1100,19
2020-02-02T02:00:00.000+1100,7
2020-02-02T02:30:00.000+1100,6
2020-02-02T03:00:00.000+1100,7
2020-02-02T03:30:00.000+1100,7
2020-02-02T04:00:00.000+1100,58
2020-02-02T04:30:00.000+1100,47
2020-02-02T05:00:00.000+1100,3
2020-02-02T05:30:00.000+1100,4
2020-02-02T06:00:00.000+1100,154
2020-02-02T06:30:00.000+1100,7
2020-02-02T07:00:00.000+1100,128
2020-02-02T07:30:00.000+1100,130
2020-02-02T08:00:00.000+1100,71
2020-02-02T08:30:00.000+1100,67
2020-02-02T09:00:00.000+1100,130
2020-02-02T09:30:00.000+1100,16
2020-02-02T10:00:00.000+1100,6
2020-02-02T10:30:00.000+1100,7
2020-02-02T11:00:00.000+1100,8
2020-02-02T11:30:00.000+1100,66
2020-02-02T12:00:00.000+1100,16
2020-02-02T12:30:00.000+1100,59
2020-02-02T13:00:00.000+1100,7
2020-02-02T13:30:00.000+1100,24
2020-02-02T14:00:00.000+1100,27
2020-02-02T14:30:00.000+1100,8
2020-02-02T15:00:00.000+1100,9
2020-02-02T15:30:00.000+1100,9
2020-02-02T16:00:00.000+1100,6
2020-02-02T16:30:00.000+1100,8
2020-02-02T17:00:00.000+1100,5
2020-02-02T17:30:00.000+1100,8
2020-02-02T18:00:00.000+1100,11
2020-02-02T18:30:00.000+1100,9
2020-02-02T19:00:00.000+1100,6
2020-02-02T19:30:00.000+1100,7
2020-02-02T20:00:00.000+1100,6
2020-02-02T20:30:00.000+1100,7
2020-02-02T21:00:00.000+1100,7
2020-02-02T21:30:00.000+1100,5
2020-02-02T22:00:00.000+1100,6
2020-02-02T22:30:00.000+1100,5
2020-02-02T23:00:00.000+1100,8
2020-02-02T23:30:00.000+1100,5
2020-02-03T00:00:00.000+1100,46
2020-02-03T00:30:00.000+1100,18
2020-02-03T01:00:00.000+1100,56
2020-02-03T01:30:00.000+1100,12
2020-02-03T02:00:00.000+1100,8
2020-02-03T02:30:00.000+1100,11
2020-02-03T03:00:00.000+1100,12
2020-02-03T03:30:00.000+1100,21
2020-02-03T04:00:00.000+1100,56
2020-02-03T04:30:00.000+1100,27
2020-02-03T05:00:00.000+1100,25
2020-02-03T05:30:00.000+1100,17
2020-02-03T06:00:00.000+1100,44
2020-02-03T06:30:00.000+1100,24
2020-02-03T07:00:00.000+1100,43
2020-02-03T07:30:00.000+1100,57
2020-02-03T08:00:00.000+1100,187
2020-02-03T08:30:00.000+1100,301
2020-02-03T09:00:00.000+1100,581
2020-02-03T09:30:00.000+1100,594
2020-02-03T10:00:00.000+1100,683
2020-02-03T10:30:00.000+1100,642
2020-02-03T11:00:00.000+1100,620
2020-02-03T11:30:00.000+1100,622
2020-02-03T12:00:00.000+1100,687
2020-02-03T12:30:00.000+1100,590
2020-02-03T13:00:00.000+1100,647
2020-02-03T13:30:00.000+1100,557
2020-02-03T14:00:00.000+1100,580
2020-02-03T14:30:00.000+1100,550
2020-02-03T15:00:00.000+1100,547
2020-02-03T15:30:00.000+1100,482
2020-02-03T16:00:00.000+1100,425
2020-02-03T16:30:00.000+1100,332
2020-02-03T17:00:00.000+1100,157
2020-02-03T17:30:00.000+1100,60
2020-02-03T18:00:00.000+1100,59
2020-02-03T18:30:00.000+1100,28
2020-02-03T19:00:00.000+1100,50
2020-02-03T19:30:00.000+1100,8
2020-02-03T20:00:00.000+1100,9
2020-02-03T20:30:00.000+1100,11
2020-02-03T21:00:00.000+1100,11
2020-02-03T21:30:00.000+1100,7
2020-02-03T22:00:00.000+1100,11
2020-02-03T22:30:00.000+1100,8
2020-02-03T23:00:00.000+1100,10
2020-02-03T23:30:00.000+1100,10
2020-02-04T00:00:00.000+1100,26
2020-02-04T00:30:00.000+1100,9
2020-02-04T01:00:00.000+1100,47
2020-02-04T01:30:00.000+1100,13
2020-02-04T02:00:00.000+1100,21
2020-02-04T02:30:00.000+1100,8
2020-02-04T03:00:00.000+1100,11
2020-02-04T03:30:00.000+1100,23
2020-02-04T04:00:00.000+1100,108
2020-02-04T04:30:00.000+1100,10
2020-02-04T05:00:00.000+1100,7
2020-02-04T05:30:00.000+1100,6
2020-02-04T06:00:00.000+1100,41
2020-02-04T06:30:00.000+1100,19
2020-02-04T07:00:00.000+1100,26
2020-02-04T07:30:00.000+1100,41
2020-02-04T08:00:00.000+1100,152
2020-02-04T08:30:00.000+1100,214
2020-02-04T09:00:00.000+1100,312
2020-02-04T09:30:00.000+1100,309
2020-02-04T10:00:00.000+1100,259
2020-02-04T10:30:00.000+1100,246
2020-02-04T11:00:00.000+1100,269
2020-02-04T11:30:00.000+1100,361
2020-02-04T12:00:00.000+1100,349
2020-02-04T12:30:00.000+1100,341
2020-02-04T13:00:00.000+1100,329
2020-02-04T13:30:00.000+1100,346
2020-02-04T14:00:00.000+1100,312
2020-02-04T14:30:00.000+1100,322
2020-02-04T15:00:00.000+1100,243
2020-02-04T15:30:00.000+1100,267
2020-02-04T16:00:00.000+1100,196
2020-02-04T16:30:00.000+1100,145
2020-02-04T17:00:00.000+1100,117
2020-02-04T17:30:00.000+1100,94
2020-02-04T18:00:00.000+1100,38
2020-02-04T18:30:00.000+1100,54
2020-02-04T19:00:00.000+1100,17
2020-02-04T19:30:00.000+1100,14
2020-02-04T20:00:00.000+1100,15
2020-02-04T20:30:00.000+1100,6
2020-02-04T21:00:00.000+1100,10
2020-02-04T21:30:00.000+1100,11
2020-02-04T22:00:00.000+1100,11
2020-02-04T22:30:00.000+1100,5
2020-02-04T23:00:00.000+1100,18
2020-02-04T23:30:00.000+1100,6
2020-02-05T00:00:00.000+1100,128
2020-02-05T00:30:00.000+1100,55
2020-02-05T01:00:00.000+1100,42
2020-02-05T01:30:00.000+1100,473
2020-02-05T02:00:00.000+1100,6
2020-02-05T02:30:00.000+1100,474
2020-02-05T03:00:00.000+1100,8
2020-02-05T03:30:00.000+1100,688
2020-02-05T04:00:00.000+1100,42
2020-02-05T04:30:00.000+1100,376
2020-02-05T05:00:00.000+1100,5
2020-02-05T05:30:00.000+1100,515
2020-02-05T06:00:00.000+1100,671
2020-02-05T06:30:00.000+1100,741
2020-02-05T07:00:00.000+1100,637
2020-02-05T07:30:00.000+1100,776
2020-02-05T08:00:00.000+1100,474
2020-02-05T08:30:00.000+1100,282
2020-02-05T09:00:00.000+1100,668
2020-02-05T09:30:00.000+1100,813
2020-02-05T10:00:00.000+1100,614
2020-02-05T10:30:00.000+1100,94
2020-02-05T11:00:00.000+1100,81
2020-02-05T11:30:00.000+1100,152
2020-02-05T12:00:00.000+1100,184
2020-02-05T12:30:00.000+1100,162
2020-02-05T13:00:00.000+1100,188
2020-02-05T13:30:00.000+1100,164
2020-02-05T14:00:00.000+1100,150
2020-02-05T14:30:00.000+1100,75
2020-02-05T15:00:00.000+1100,107
2020-02-05T15:30:00.000+1100,130
2020-02-05T16:00:00.000+1100,117
2020-02-05T16:30:00.000+1100,130
2020-02-05T17:00:00.000+1100,104
2020-02-05T17:30:00.000+1100,48
2020-02-05T18:00:00.000+1100,39
2020-02-05T18:30:00.000+1100,17
2020-02-05T19:00:00.000+1100,17
2020-02-05T19:30:00.000+1100,9
2020-02-05T20:00:00.000+1100,5
2020-02-05T20:30:00.000+1100,10
2020-02-05T21:00:00.000+1100,4
2020-02-05T21:30:00.000+1100,6
2020-02-05T22:00:00.000+1100,4
2020-02-05T22:30:00.000+1100,5
2020-02-05T23:00:00.000+1100,4
2020-02-05T23:30:00.000+1100,4
2020-02-06T00:00:00.000+1100,174
2020-02-06T00:30:00.000+1100,21
2020-02-06T01:00:00.000+1100,178
2020-02-06T01:30:00.000+1100,9
2020-02-06T02:00:00.000+1100,272
2020-02-06T02:30:00.000+1100,5
2020-02-06T03:00:00.000+1100,22
2020-02-06T03:30:00.000+1100,7
2020-02-06T04:00:00.000+1100,88
2020-02-06T04:30:00.000+1100,51
2020-02-06T05:00:00.000+1100,219
2020-02-06T05:30:00.000+1100,336
2020-02-06T06:00:00.000+1100,355
2020-02-06T06:30:00.000+1100,375
2020-02-06T07:00:00.000+1100,477
2020-02-06T07:30:00.000+1100,480
2020-02-06T08:00:00.000+1100,81
2020-02-06T08:30:00.000+1100,259
2020-02-06T09:00:00.000+1100,580
2020-02-06T09:30:00.000+1100,493
2020-02-06T10:00:00.000+1100,362
2020-02-06T10:30:00.000+1100,97
2020-02-06T11:00:00.000+1100,101
2020-02-06T11:30:00.000+1100,97
2020-02-06T12:00:00.000+1100,459
2020-02-06T12:30:00.000+1100,163
2020-02-06T13:00:00.000+1100,111
2020-02-06T13:30:00.000+1100,159
2020-02-06T14:00:00.000+1100,120
2020-02-06T14:30:00.000+1100,76
2020-02-06T15:00:00.000+1100,105
2020-02-06T15:30:00.000+1100,133
2020-02-06T16:00:00.000+1100,104
2020-02-06T16:30:00.000+1100,116
2020-02-06T17:00:00.000+1100,91
2020-02-06T17:30:00.000+1100,57
2020-02-06T18:00:00.000+1100,39
2020-02-06T18:30:00.000+1100,11
2020-02-06T19:00:00.000+1100,46
2020-02-06T19:30:00.000+1100,9
2020-02-06T20:00:00.000+1100,14
2020-02-06T20:30:00.000+1100,7
2020-02-06T21:00:00.000+1100,5
2020-02-06T21:30:00.000+1100,4
2020-02-06T22:00:00.000+1100,3
2020-02-06T22:30:00.000+1100,5
2020-02-06T23:00:00.000+1100,5
2020-02-06T23:30:00.000+1100,8
2020-02-07T00:00:00.000+1100,25
2020-02-07T00:30:00.000+1100,36
2020-02-07T01:00:00.000+1100,93
2020-02-07T01:30:00.000+1100,30
2020-02-07T02:00:00.000+1100,7
2020-02-07T02:30:00.000+1100,28
2020-02-07T03:00:00.000+1100,13
2020-02-07T03:30:00.000+1100,9
2020-02-07T04:00:00.000+1100,46
2020-02-07T04:30:00.000+1100,83
2020-02-07T05:00:00.000+1100,7
2020-02-07T05:30:00.000+1100,20
2020-02-07T06:00:00.000+1100,123
2020-02-07T06:30:00.000+1100,13
2020-02-07T07:00:00.000+1100,32
2020-02-07T07:30:00.000+1100,101
2020-02-07T08:00:00.000+1100,131
2020-02-07T08:30:00.000+1100,136
2020-02-07T09:00:00.000+1100,79
2020-02-07T09:30:00.000+1100,111
2020-02-07T10:00:00.000+1100,59
2020-02-07T10:30:00.000+1100,43
2020-02-07T11:00:00.000+1100,52
2020-02-07T11:30:00.000+1100,78
2020-02-07T12:00:00.000+1100,104
2020-02-07T12:30:00.000+1100,75
2020-02-07T13:00:00.000+1100,135
2020-02-07T13:30:00.000+1100,76
2020-02-07T14:00:00.000+1100,55
2020-02-07T14:30:00.000+1100,53
2020-02-07T15:00:00.000+1100,63
2020-02-07T15:30:00.000+1100,109
2020-02-07T16:00:00.000+1100,64
2020-02-07T16:30:00.000+1100,66
2020-02-07T17:00:00.000+1100,48
2020-02-07T17:30:00.000+1100,42
2020-02-07T18:00:00.000+1100,17
2020-02-07T18:30:00.000+1100,18
2020-02-07T19:00:00.000+1100,7
2020-02-07T19:30:00.000+1100,4
2020-02-07T20:00:00.000+1100,4
2020-02-07T20:30:00.000+1100,4
2020-02-07T21:00:00.000+1100,5
2020-02-07T21:30:00.000+1100,3
2020-02-07T22:00:00.000+1100,3
2020-02-07T22:30:00.000+1100,3
2020-02-07T23:00:00.000+1100,4
2020-02-07T23:30:00.000+1100,4
2020-02-08T00:00:00.000+1100,10
2020-02-08T00:30:00.000+1100,9
2020-02-08T01:00:00.000+1100,43
2020-02-08T01:30:00.000+1100,3
2020-02-08T02:00:00.000+1100,3
2020-02-08T02:30:00.000+1100,4
2020-02-08T03:00:00.000+1100,3
2020-02-08T03:30:00.000+1100,4
2020-02-08T04:00:00.000+1100,65
2020-02-08T04:30:00.000+1100,10
2020-02-08T05:00:00.000+1100,1
2020-02-08T05:30:00.000+1100,3
2020-02-08T06:00:00.000+1100,36
2020-02-08T06:30:00.000+1100,6
2020-02-08T07:00:00.000+1100,20
2020-02-08T07:30:00.000+1100,15
2020-02-08T08:00:00.000+1100,4
2020-02-08T08:30:00.000+1100,5
2020-02-08T09:00:00.000+1100,8
2020-02-08T09:30:00.000+1100,11
2020-02-08T10:00:00.000+1100,19
2020-02-08T10:30:00.000+1100,10
2020-02-08T11:00:00.000+1100,5
2020-02-08T11:30:00.000+1100,22
2020-02-08T12:00:00.000+1100,27
2020-02-08T12:30:00.000+1100,16
2020-02-08T13:00:00.000+1100,20
2020-02-08T13:30:00.000+1100,31
2020-02-08T14:00:00.000+1100,38
2020-02-08T14:30:00.000+1100,22
2020-02-08T15:00:00.000+1100,22
2020-02-08T15:30:00.000+1100,27
2020-02-08T16:00:00.000+1100,20
2020-02-08T16:30:00.000+1100,2
2020-02-08T17:00:00.000+1100,17
2020-02-08T17:30:00.000+1100,16
2020-02-08T18:00:00.000+1100,17
2020-02-08T18:30:00.000+1100,14
2020-02-08T19:00:00.000+1100,7
2020-02-08T19:30:00.000+1100,7
2020-02-08T20:00:00.000+1100,8
2020-02-08T20:30:00.000+1100,4
2020-02-08T21:00:00.000+1100,5
2020-02-08T21:30:00.000+1100,4
2020-02-08T22:00:00.000+1100,5
2020-02-08T22:30:00.000+1100,4
2020-02-08T23:00:00.000+1100,4
2020-02-08T23:30:00.000+1100,5
2020-02-09T00:00:00.000+1100,24
2020-02-09T00:30:00.000+1100,85
2020-02-09T01:00:00.000+1100,42
2020-02-09T01:30:00.000+1100,4
2020-02-09T02:00:00.000+1100,4
2020-02-09T02:30:00.000+1100,4
2020-02-09T03:00:00.000+1100,5
2020-02-09T03:30:00.000+1100,6
2020-02-09T04:00:00.000+1100,36
2020-02-09T04:30:00.000+1100,42
2020-02-09T05:00:00.000+1100,12
2020-02-09T05:30:00.000+1100,5
2020-02-09T06:00:00.000+1100,45
2020-02-09T06:30:00.000+1100,18
2020-02-09T07:00:00.000+1100,8
2020-02-09T07:30:00.000+1100,22
2020-02-09T08:00:00.000+1100,9
2020-02-09T08:30:00.000+1100,14
2020-02-09T09:00:00.000+1100,8
2020-02-09T09:30:00.000+1100,8
2020-02-09T10:00:00.000+1100,26
2020-02-09T10:30:00.000+1100,5
2020-02-09T11:00:00.000+1100,7
2020-02-09T11:30:00.000+1100,4
2020-02-09T12:00:00.000+1100,23
2020-02-09T12:30:00.000+1100,5
2020-02-09T13:00:00.000+1100,5
2020-02-09T13:30:00.000+1100,8
2020-02-09T14:00:00.000+1100,12
2020-02-09T14:30:00.000+1100,7
2020-02-09T15:00:00.000+1100,6
2020-02-09T15:30:00.000+1100,8
2020-02-09T16:00:00.000+1100,6
2020-02-09T16:30:00.000+1100,5
2020-02-09T17:00:00.000+1100,67
2020-02-09T17:30:00.000+1100,6
2020-02-09T18:00:00.000+1100,5
2020-02-09T18:30:00.000+1100,4
2020-02-09T19:00:00.000+1100,4
2020-02-09T19:30:00.000+1100,4
2020-02-09T20:00:00.000+1100,5
2020-02-09T20:30:00.000+1100,6
2020-02-09T21:00:00.000+1100,4
2020-02-09T21:30:00.000+1100,4
2020-02-09T22:00:00.000+1100,4
2020-02-09T22:30:00.000+1100,4
2020-02-09T23:00:00.000+1100,4
2020-02-09T23:30:00.000+1100,5
2020-02-10T00:00:00.000+1100,109
2020-02-10T00:30:00.000+1100,28
2020-02-10T01:00:00.000+1100,129
2020-02-10T01:30:00.000+1100,110
2020-02-10T02:00:00.000+1100,4
2020-02-10T02:30:00.000+1100,9
2020-02-10T03:00:00.000+1100,4
2020-02-10T03:30:00.000+1100,19
2020-02-10T04:00:00.000+1100,34
2020-02-10T04:30:00.000+1100,49
2020-02-10T05:00:00.000+1100,7
2020-02-10T05:30:00.000+1100,4
2020-02-10T06:00:00.000+1100,32
2020-02-10T06:30:00.000+1100,10
2020-02-10T07:00:00.000+1100,23
2020-02-10T07:30:00.000+1100,43
2020-02-10T08:00:00.000+1100,92
2020-02-10T08:30:00.000+1100,157
2020-02-10T09:00:00.000+1100,88
2020-02-10T09:30:00.000+1100,83
2020-02-10T10:00:00.000+1100,87
2020-02-10T10:30:00.000+1100,99
2020-02-10T11:00:00.000+1100,100
2020-02-10T11:30:00.000+1100,93
2020-02-10T12:00:00.000+1100,120
2020-02-10T12:30:00.000+1100,126
2020-02-10T13:00:00.000+1100,138
2020-02-10T13:30:00.000+1100,134
2020-02-10T14:00:00.000+1100,121
2020-02-10T14:30:00.000+1100,148
2020-02-10T15:00:00.000+1100,125
